Nom Blog,Pays,Région,Ville,Adresse Email,Site web,Abonnées Facebook,Abonnées Twitter,Abonnées Instagram
Free Jazz,USA,none,none,free_jazz@exemple.com,freejazzblog.org,1600,3900,0
Jazz&Blues,France,Ile-de-France,Paris,jazzandblues@exemple.com,youtube.com/cha..,123700,765,0
A Jazz Noise,Spain,Catalunya,Barcelona,a_jazz_noise@exemple.com,ajazznoise.com,2000,1500,0
Yoko Miwa ,USA,Massachusetts,Boston,yoko_miwa@exemple.com,yokomiwa.com/blog,3500,1300,2400
LondonJazz,UK,England,London,londonjazz@exemple.com,londonjazznews.com,7800,51500,0
New York Jazz Workshop Blog,USA,none,New York,new_york_jazz_workshop_blog@exemple.com,newyorkjazzworksho..,16000,1600,0
JazzWax,USA,none,none,jazzwax@exemple.com,jazzwax.com,0,11700,0
Tracce di Jazz,Italy,none,none,tracce_di_jazz@exemple.com,traccedijazz.com,6400,229,0
Pitchfork » Jazz,USA,none,none,pitchfork__jazz@exemple.com,pitchfork.com/news..,1400000,3200000,1500000
Library of Congress » Jazz ,USA,District of Columbia,Washington,library_of_congress__jazz@exemple.com,blogs.loc.gov/musi..,497400,1200000,0
All About Jazz,USA,Pennsylvania,Philadelphia,all_about_jazz@exemple.com,allaboutjazz.com/a..,129100,92600,4100
WartaJazz.com,Indonesia,none,Yogyakarta,wartajazzcom@exemple.com,wartajazz.com,4800,19500,10400
Jazzwise,UK,England,London,jazzwise@exemple.com,jazzwise.com/news,21600,56300,11000
Ottawa Citizen » Jazz Blog ,none,none,none,ottawa_citizen__jazz_blog@exemple.com,ottawacitizen.com/..,194700,249600,51200
Jazz Journal,UK,England,London,jazz_journal@exemple.com,jazzjournal.co.uk,1900,11300,0
The Jazz Mann,UK ,none,none,the_jazz_mann@exemple.com,thejazzmann.com,0,4900,0
Wynton Marsalis ,USA,none,New York,wynton_marsalis@exemple.com,wyntonmarsalis.org..,785300,135800,324500
TD Ottawa Jazz Festival,Canada,Ontario,Ottawa,td_ottawa_jazz_festival@exemple.com,ottawajazzfestival..,12800,18100,6800
Jazz Chill Music,USA,none,Florida,jazz_chill_music@exemple.com,jazzchill.blogspot..,0,11900,0
Jazz In Europe,Netherlands,Overijssel,Hengelo,jazz_in_europe@exemple.com,jazzineurope.mfmme..,11400,31800,4900
Jazz You Too,none,none,none,jazz_you_too@exemple.com,jazzyoutoo.wordpre..,0,1300,0
Jazz Lives Blog ,USA,none,New York,jazz_lives_blog@exemple.com,jazzlives.wordpres..,0,434,0
SFJAZZ ,USA,California,San Francisco,sfjazz@exemple.com,sfjazz.org/ontheco..,85500,28100,108800
New York Amsterdam » Jazz Notes,USA,New York,Harlem,new_york_amsterdam__jazz_notes@exemple.com,amsterdamnews.com/..,54600,14900,17300
Jazz Blues Florida,USA,none,Florida,jazz_blues_florida@exemple.com,jazz-bluesflorida...,7400,34,3700
